model;default_name;creation_date;base_currency;addresses;emails;phones;members;subsidiaries;active
common.models.Company;ABN AMRO Luxembourg;2015-01-01;;[];[];[];[];[];True
common.models.Company;Ansbacher Bahamas;2015-01-01;;[];[];[];[];[];True
common.models.Company;BANK JULIUS BAER & Co. Ltd;2015-01-01;;[];[];[];[];[];True
common.models.Company;Bank Julius Baër & Co. Ltd;2015-01-01;;[];[];[];[];[];True
common.models.Company;Bank Pictet & Cie (Asia) Ltd.;2015-01-01;;[];[];[];[];[];True
common.models.Company;Bank Sarasin-Rabo (Asia) Limited;2015-01-01;;[];[];[];[];[];True
common.models.Company;Banque Cantonale de Genève Private Banking;2015-01-01;;[];[];[];[];[];True
common.models.Company;Banque Havilland;2015-01-01;;[];[];[];[];[];True
common.models.Company;Banque Héritage;2015-01-01;;[];[];[];[];[];True
common.models.Company;Banque Internationale Luxembourg;2015-01-01;;[];[];[];[];[];True
common.models.Company;Banque J. Safra Sarasin SA;2015-01-01;;[];[];[];[];[];True
common.models.Company;Banque Palatine;2015-01-01;;[];[];[];[];[];True
common.models.Company;Banque Piguet & Cie S.A.;2015-01-01;;[];[];[];[];[];True
common.models.Company;Banque Privée Edmond de Rothschild;2015-01-01;;[];[];[];[];[];True
common.models.Company;BARCLAYS BANK (SUISSE) SA;2015-01-01;;[];[];[];[];[];True
common.models.Company;Bloomberg;;;[];[];[];[];[];True
common.models.Company;Bloomberg LP;1981-01-01;;[];[];[];"[{""person"": ""DE JONCKHEERE St\u00e9phane"", ""model"": ""common.models.CompanyMember"", ""role"": ""CMR_BDO""}]";[];True
common.models.Company;BNP Paribas (Suisse) S.A.;2015-01-01;;[];[];[];[];[];True
common.models.Company;BridPort;2015-01-01;;[];[];[];[];[];True
common.models.Company;CIM Bank;2015-01-01;;[];[];[];[];[];True
common.models.Company;CITCO Fund Services (Ireland) Lmited;2015-01-01;;[];[];[];[];[];True
common.models.Company;Cornèr Banque S.A.;2015-01-01;;[];"[{""model"": ""common.models.Email"", ""address_type"": ""EMAIL_CONTACT"", ""email_address"": ""akeller@sequoia-ge.com""}]";"[{""phone_number"": ""0"", ""model"": ""common.models.Phone"", ""line_type"": ""PHONE_LAND_CONTACT""}]";[];[];True
common.models.Company;Crédit Agricole (Suisse) SA;2015-01-01;CHF;[];[];[];[];[];True
common.models.Company;Crédit Suisse AG;2015-01-01;;[];[];[];[];[];True
common.models.Company;Deutsche Bank (Suisse) SA;2015-01-01;;[];[];[];[];[];True
common.models.Company;Deutsche Bank London Branch;2015-01-01;;[];[];[];[];[];True
