model;identifier;name;description;currency;active;inception_date;closing_date;management_company;bank;relationship_manager;provider;logo;accounts;additional_information
portfolio.models.Portfolio;AB Global Fund Ltd;AB Global Fund Ltd;;USD;True;2017-07-01;;NOOR;Emirates National Bank of Dubai;NAVILLE Christian;;NOOR_LOGO.png;"[{""name"": ""C/C EUR"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-07-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""EUR"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C EUR"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""C/C USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-07-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C USD"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}]";
portfolio.models.Portfolio;Achilli;Achilli;;USD;True;2017-05-01;;NOOR;Emirates National Bank of Dubai;NAVILLE Christian;;NOOR_LOGO.png;"[{""name"": ""C/C EUR"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-05-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""EUR"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C EUR"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""C/C USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-05-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C USD"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""Security EUR"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-05-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""EUR"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""Security EUR"", ""type"": ""ACC_SECURITY"", ""bank"": """"}, {""name"": ""Security USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-05-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""Security USD"", ""type"": ""ACC_SECURITY"", ""bank"": """"}]";
portfolio.models.Portfolio;Adolfo Ferrer;Adolfo Ferrer;;USD;True;2017-06-01;;NOOR;Emirates National Bank of Dubai;NAVILLE Christian;;NOOR_LOGO.png;"[{""name"": ""C/C EUR"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-06-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""EUR"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C EUR"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""C/C USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-06-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C USD"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""Security CHF"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-06-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""CHF"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""Security CHF"", ""type"": ""ACC_SECURITY"", ""bank"": """"}, {""name"": ""Security USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-06-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""Security USD"", ""type"": ""ACC_SECURITY"", ""bank"": """"}]";
portfolio.models.Portfolio;Alexe Technologies Ltd;Alexe Technologies Ltd;;EUR;True;2017-09-01;;NOOR;Emirates National Bank of Dubai;NAVILLE Christian;;NOOR_LOGO.png;"[{""name"": ""C/C CHF"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-09-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""CHF"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C CHF"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""C/C EUR"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-09-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""EUR"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C EUR"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""C/C USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-09-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C USD"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""Security USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-09-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""Security USD"", ""type"": ""ACC_SECURITY"", ""bank"": """"}, {""name"": ""Security USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-09-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""Security USD"", ""type"": ""ACC_SECURITY"", ""bank"": """"}, {""name"": ""Security USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-09-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""Security USD"", ""type"": ""ACC_SECURITY"", ""bank"": """"}, {""name"": ""Security USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-09-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""Security USD"", ""type"": ""ACC_SECURITY"", ""bank"": """"}, {""name"": ""Security USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-09-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""Security USD"", ""type"": ""ACC_SECURITY"", ""bank"": """"}]";
portfolio.models.Portfolio;All Purpose Imports SA;All Purpose Imports SA;;USD;True;2017-11-01;;NOOR;Emirates National Bank of Dubai;NAVILLE Christian;;NOOR_LOGO.png;"[{""name"": ""C/C EUR"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-11-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""EUR"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C EUR"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""C/C USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-11-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C USD"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}]";
portfolio.models.Portfolio;Anis Services;Anis Services;;USD;True;2017-11-01;;NOOR;Emirates National Bank of Dubai;NAVILLE Christian;;NOOR_LOGO.png;"[{""name"": ""C/C EUR"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-11-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""EUR"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C EUR"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""C/C USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-11-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C USD"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}]";
portfolio.models.Portfolio;Arca International Bank;Arca International Bank;;USD;True;2017-09-01;;NOOR;Emirates National Bank of Dubai;NAVILLE Christian;;NOOR_LOGO.png;"[{""name"": ""C/C EUR"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-09-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""EUR"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C EUR"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""C/C USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-09-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C USD"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}]";
portfolio.models.Portfolio;Armer Financial SA;Armer Financial SA;;USD;True;2017-08-01;;NOOR;Emirates National Bank of Dubai;NAVILLE Christian;;NOOR_LOGO.png;"[{""name"": ""C/C EUR"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-08-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""EUR"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C EUR"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""C/C USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-08-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C USD"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}]";
portfolio.models.Portfolio;Asasi Food;Asasi Food;;USD;True;2017-11-01;;NOOR;Emirates National Bank of Dubai;NAVILLE Christian;;NOOR_LOGO.png;"[{""name"": ""C/C EUR"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-11-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""EUR"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C EUR"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""C/C USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-11-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C USD"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}]";
portfolio.models.Portfolio;Asfurel;Asfurel;;USD;True;2017-11-01;;NOOR;Emirates National Bank of Dubai;NAVILLE Christian;;NOOR_LOGO.png;"[{""name"": ""C/C EUR"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-11-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""EUR"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C EUR"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}, {""name"": ""C/C USD"", ""closing_date"": """", ""include_valuation"": true, ""inception_date"": ""2017-11-01"", ""current_amount_portfolio"": 0.0, ""currency"": ""USD"", ""current_amount_local"": 0.0, ""active"": true, ""identifier"": ""C/C USD"", ""type"": ""ACC_CURRENT"", ""bank"": ""Emirates National Bank of Dubai""}]";
