model;identifier;name;currency;active;inception_date;closing_date;management_company;bank;provider;provider_identifier;type;logo;additional_description
security.models.Security; AtonRâ Biotech basket; AtonRâ Biotech basket;USD;True;2015-03-17;2022-03-28;;;Crédit Agricole (Suisse) SA;27576238.000;SECTYP_STRUC_PROD;;"{""aliases"": {""TELEKURS"": {""additional"": """", ""value"": ""27576238.000""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""127890""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""TK442911 Corp""}, ""ISIN"": {""additional"": """", ""value"": ""CH0275762380""}}}"
security.models.Security;(GA-AE047) AMERICAN EXPRESS, BRIG;(GA-AE047) AMERICAN EXPRESS, BRIG;EUR;True;2020-01-01;;;;FinaLE Engine;6034983;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""6034983""}}}"
security.models.Security;[Call] USD-MXN X-RATE 2014-12-30 13.5;[Call] USDMXN Spot Exchange Rate - Price of 1 USD in MXN 2014-12-30 13.5;MXN;False;2014-09-03;2014-12-30;;;FinaLE Engine;985914;SECTYP_OPTION;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""985914""}}}"
security.models.Security;[Call] USD-ZAR X-RATE 2014-12-30 11.25;[Call] USDZAR Spot Exchange Rate - Price of 1 USD in ZAR 2014-12-30 11.25;ZAR;False;2014-09-03;2014-12-30;;;FinaLE Engine;983354;SECTYP_OPTION;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""983354""}}}"
security.models.Security;[Call] XAU-USD X-RATE 2014-09-30 1340;[Call] XAUUSD Spot Exchange Rate - Price of 1 XAU in USD 2014-09-30 1340;USD;False;2014-06-18;2014-09-30;;;FinaLE Engine;987920;SECTYP_OPTION;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""987920""}}}"
security.models.Security;[Call] XAU-USD X-RATE 2014-09-30 1375;[Call] XAUUSD Spot Exchange Rate - Price of 1 XAU in USD 2014-09-30 1375;USD;False;2020-01-01;2014-09-30;;;FinaLE Engine;987923;SECTYP_OPTION;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""987923""}}}"
security.models.Security;[CFD] ACCSYS TECHNOLOGIES PLC;[CFD] ACCSYS TECHNOLOGIES PLC;GBp;True;2020-01-01;;;;FinaLE Engine;779683;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""779683""}}}"
security.models.Security;[CFD] ALCOA INC;[CFD] ALCOA INC;USD;True;2020-01-01;;;;FinaLE Engine;779986;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""779986""}}}"
security.models.Security;[CFD] APPLE INC;[CFD] APPLE INC;USD;True;2020-01-01;;;;FinaLE Engine;782951;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""782951""}}}"
security.models.Security;[CFD] ARCELORMITTAL;[CFD] ARCELORMITTAL;EUR;True;2020-01-01;;;;FinaLE Engine;779557;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""779557""}}}"
security.models.Security;[CFD] AT&T INC;[CFD] AT&T Inc;USD;True;2020-01-01;;;;FinaLE Engine;783018;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""783018""}}}"
security.models.Security;[CFD] AXA SA;[CFD] AXA SA;EUR;True;2020-01-01;;;;FinaLE Engine;783634;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""783634""}}}"
security.models.Security;[CFD] BNP PARIBAS;[CFD] BNP PARIBAS;EUR;True;2020-01-01;;;;FinaLE Engine;953244;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""953244""}}}"
security.models.Security;[CFD] DANONE;[CFD] DANONE;EUR;True;2020-01-01;;;;FinaLE Engine;785250;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""785250""}}}"
security.models.Security;[CFD] EURASIAN RESOURCES GROUP;[CFD] Eurasian Resources Group;USD;True;2020-01-01;;;;FinaLE Engine;842060;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""842060""}}}"
security.models.Security;[CFD] FREEPORT-MCMORAN INC;[CFD] FREEPORT-MCMORAN INC;USD;True;2020-01-01;;;;FinaLE Engine;779990;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""779990""}}}"
security.models.Security;[CFD] GAZPROM OAO-SPON ADR;[CFD] GAZPROM OAO-SPON ADR;EUR;True;2020-01-01;;;;FinaLE Engine;779565;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""779565""}}}"
security.models.Security;[CFD] HALLIBURTON CO;[CFD] HALLIBURTON CO;USD;True;2020-01-01;;;;FinaLE Engine;779975;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""779975""}}}"
