model;identifier;name;currency;active;inception_date;closing_date;management_company;bank;provider;provider_identifier;type;logo;additional_description
security.models.Security;1&1 DRILLISCH AG;1&1 Drillisch AG [DRI GR];EUR;True;2020-01-01;;;;Bloomberg LP;DRI GR Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""DE0005545503""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7755031""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""DRI GR Equity""}}}"
security.models.Security;ADP;Aeroports de Paris;EUR;True;2020-01-01;;;;Bloomberg LP;ADP FP Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""FR0010340141""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7754812""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""ADP FP Equity""}}}"
security.models.Security;ALD SA;ALD SA;EUR;True;2020-01-01;;;;Bloomberg LP;ALD FP Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""FR0013258662""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7754816""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""ALD FP Equity""}}}"
security.models.Security;APERAM;APERAM SA [APAM NA];EUR;True;2020-01-01;;;;Bloomberg LP;APAM NA Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""LU0569974404""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7755023""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""APAM NA Equity""}}}"
security.models.Security;ARCELORMITTAL;ArcelorMittal;EUR;True;2020-01-01;;;;Bloomberg LP;ARRD GR Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""LU1598757687""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7755170""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""ARRD GR Equity""}}}"
security.models.Security;ARKEMA;Arkema SA;EUR;True;2020-01-01;;;;Bloomberg LP;AKE FP Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""FR0010313833""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7754828""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""AKE FP Equity""}}}"
security.models.Security;AROUNDTOWN SA;Aroundtown SA;EUR;True;2020-01-01;;;;Bloomberg LP;AT1 GR Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""LU1673108939""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7755174""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""AT1 GR Equity""}}}"
security.models.Security;B&M EUROPEAN VALUE RETAIL SA;B&M European Value Retail SA;GBp;True;2020-01-01;;;;Bloomberg LP;BME LN Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""LU1072616219""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7755125""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""BME LN Equity""}}}"
security.models.Security;CAIXABANK S.A;CaixaBank SA;EUR;True;2020-01-01;;;;Bloomberg LP;CABK SM Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""ES0140609019""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7755162""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""CABK SM Equity""}}}"
security.models.Security;EIFFAGE;Eiffage SA;EUR;True;2020-01-01;;;;Bloomberg LP;FGR VX Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""FR0000130452""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7754844""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""FGR VX Equity""}}}"
security.models.Security;ELECTRICITE DE FRANCE;Electricite de France SA;EUR;True;2020-01-01;;;;Bloomberg LP;EDF VX Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""FR0010242511""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7754840""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""EDF VX Equity""}}}"
security.models.Security;ELIS SA;Elis SA;EUR;True;2020-01-01;;;;Bloomberg LP;ELIS FP Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""FR0012435121""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7754848""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""ELIS FP Equity""}}}"
security.models.Security;GDF SUEZ;Engie SA;EUR;True;2020-01-01;;;;Bloomberg LP;GSZ VX Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""FR0010208488""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7754852""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""GSZ VX Equity""}}}"
security.models.Security;GAM HOLDING AG;GAM Holding AG;CHF;True;2020-01-01;;;;Bloomberg LP;GAM SW Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""CH0102659627""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7754758""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""GAM SW Equity""}}}"
security.models.Security;GRANDVISION NV;GrandVision NV;EUR;True;2020-01-01;;;;Bloomberg LP;GVNV NA Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""NL0010937066""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7754762""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""GVNV NA Equity""}}}"
security.models.Security;HISPANIA ACTIVOS INMOBILIARI;Hispania Activos Inmobiliarios SOCIMI SA;EUR;True;2020-01-01;;;;Bloomberg LP;HIS SM Equity;SECTYP_SECURITY;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""ES0105019006""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7755178""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""HIS SM Equity""}}}"
security.models.Security;HOWDEN JOINERY GROUP PLC;Howden Joinery Group PLC;GBp;True;2020-01-01;;;;Bloomberg LP;HWDN LN Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""GB0005576813""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7755129""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""HWDN LN Equity""}}}"
security.models.Security;JUST EAT PLC;Just Eat PLC;GBp;True;2020-01-01;;;;Bloomberg LP;JE/ LN Equity;SECTYP_STOCK;;"{""aliases"": {""ISIN"": {""additional"": """", ""value"": ""GB00BKX5CN86""}, ""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7755133""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""JE/ LN Equity""}}}"
