model;identifier;name;currency;active;inception_date;closing_date;management_company;bank;provider;provider_identifier;type;logo;additional_description
security.models.Security;AUD-CHF X-RATE;AUDCHF Spot Exchange Rate - Price of 1 AUD in CHF;CHF;True;2020-01-01;;;;Bloomberg LP;AUDCHF Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""584023""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""AUDCHF Curncy""}}}"
security.models.Security;AUD-EUR X-RATE;AUDEUR Spot Exchange Rate - Price of 1 AUD in EUR;EUR;True;2020-01-01;;;;Bloomberg LP;AUDEUR Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""208891""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""AUDEUR Curncy""}}}"
security.models.Security;AUD-USD X-RATE;AUDUSD Spot Exchange Rate - Price of 1 AUD in USD;USD;True;2020-01-01;;;;Bloomberg LP;AUDUSD Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""207239""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""AUDUSD Curncy""}}}"
security.models.Security;CAD-AUD X-RATE;CADAUD Spot Exchange Rate - Price of 1 CAD in AUD;AUD;True;2020-01-01;;;;Bloomberg LP;CADAUD Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""6274063""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""CADAUD Curncy""}}}"
security.models.Security;CAD-CHF X-RATE;CADCHF Spot Exchange Rate - Price of 1 CAD in CHF;CHF;True;2020-01-01;;;;Bloomberg LP;CADCHF Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""207887""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""CADCHF Curncy""}}}"
security.models.Security;CAD-EUR X-RATE;CADEUR Spot Exchange Rate - Price of 1 CAD in EUR;EUR;True;2020-01-01;;;;Bloomberg LP;CADEUR Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""221517""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""CADEUR Curncy""}}}"
security.models.Security;CAD-USD X-RATE;CADUSD Spot Exchange Rate - Price of 1 CAD in USD;CAD;True;2020-01-01;;;;Bloomberg LP;CADUSD Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""207007""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""CADUSD Curncy""}}}"
security.models.Security;CHF-AUD X-RATE;CHFAUD Spot Exchange Rate - Price of 1 CHF in AUD;AUD;True;2020-01-01;;;;Bloomberg LP;CHFAUD Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""6181302""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""CHFAUD Curncy""}}}"
security.models.Security;CHF-CAD X-RATE;CHFCAD Spot Exchange Rate - Price of 1 CHF in CAD;CAD;True;2020-01-01;;;;Bloomberg LP;CHFCAD Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""6851939""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""CHFCAD Curncy""}}}"
security.models.Security;CHF-EUR X-RATE;CHFEUR Spot Exchange Rate - Price of 1 CHF in EUR;EUR;True;2020-01-01;;;;Bloomberg LP;CHFEUR Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""145356""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""CHFEUR Curncy""}}}"
